CloseTime,OpenPrice,HighPrice,LowPrice,ClosePrice,VolumeBase,VolumeQuote
2022-01-22,40680.92,41100.0,35440.45,36445.31,88860.891999,3405501703.2219367
2022-01-23,36445.31,36835.22,34008.0,35071.42,90471.338961,3207531048.0306516
2022-01-24,35071.42,36499.0,34601.01,36244.55,44279.52354,1572414639.0428774
2022-01-25,36244.55,37550.0,32917.17,36660.35,91904.753211,3192041586.10319
2022-01-26,36660.35,37545.14,35701.0,36958.32,49230.56097,1799157254.4756305
2022-01-27,36958.32,38919.98,36234.63,36809.34,69830.16036,2627491976.6908574
2022-01-28,36807.24,37234.47,35507.01,37160.1,53020.87934,1925920128.3436604
2022-01-29,37160.11,38000.0,36155.01,37716.56,42154.26956,1560203931.220128
2022-01-30,37716.57,38720.74,37268.44,38166.84,26129.49682,989652386.9966494
2022-01-31,38166.83,38359.26,37351.63,37881.76,21430.66527,812750216.6010319
2022-02-01,37881.75,38744.0,36632.61,38466.9,36855.2458,1386754529.0295446
2022-02-02,38466.9,39265.2,38000.0,38694.59,34574.44663,1334266166.7099988
2022-02-03,38694.59,38855.92,36586.95,36896.36,35794.6813,1353093948.9776013
2022-02-04,36896.37,37387.0,36250.0,37311.61,32081.10999,1179502838.6566265
2022-02-05,37311.98,41772.33,37026.73,41574.25,64703.95874,2526572562.058285
2022-02-06,41571.7,41913.69,40843.01,41382.59,32532.34372,1349805515.9300365
2022-02-07,41382.6,42656.0,41116.56,42380.87,22405.16704,934168802.8801152
2022-02-08,42380.87,44500.5,41645.85,43839.99,51060.62006,2204523609.903396
2022-02-09,43839.99,45492.0,42666.0,44042.99,64880.29387,2847485971.4977336
2022-02-10,44043.0,44799.0,43117.92,44372.72,34428.16729,1512500139.1430995
2022-02-11,44372.71,45821.0,43174.01,43495.44,62357.29091,2772188373.222783
2022-02-12,43495.44,43920.0,41938.51,42373.73,44975.1687,1937866768.5059533
2022-02-13,42373.73,43079.49,41688.88,42217.87,26556.85681,1123136004.7237246
2022-02-14,42217.87,42760.0,41870.0,42053.66,17732.08113,750533311.6529565
2022-02-15,42053.65,42842.4,41550.56,42535.94,34010.1306,1436927831.4445863
2022-02-16,42535.94,44751.4,42427.03,44544.86,38095.19576,1672855933.625659
2022-02-17,44544.85,44549.97,43307.0,43873.56,28471.8727,1250973502.3018453
2022-02-18,43873.56,44164.71,40073.21,40515.7,47245.99494,1993400162.9480667
2022-02-19,40515.71,40959.88,39450.0,39974.44,43845.92241,1765622365.9527562
2022-02-20,39974.45,40444.32,39639.03,40079.17,18042.0551,721960636.0646693
2022-02-21,40079.17,40125.44,38000.0,38386.89,33439.29011,1293216601.4518795
2022-02-22,38386.89,39494.35,36800.0,37008.16,62347.68496,2382027320.8617606
2022-02-23,37008.16,38429.0,36350.0,38230.33,53785.94589,2010628230.7549176
2022-02-24,38230.33,39249.93,37036.79,37250.01,43560.732,1665486687.239937
2022-02-25,37250.02,39843.0,34322.28,38327.21,120476.29458,4335107392.009488
2022-02-26,38328.68,39683.53,38014.37,39219.17,56574.57125,2197889580.282669
2022-02-27,39219.16,40348.45,38573.18,39116.72,29361.2568,1152621719.69438
2022-02-28,39116.73,39855.7,37000.0,37699.07,46229.44719,1780512702.886402
2022-03-01,37699.08,44225.84,37450.17,43160.0,73945.63858,2975160226.1689854
2022-03-02,43160.0,44949.0,42809.98,44421.2,61743.09873,2701611023.6943197
2022-03-03,44421.2,45400.0,43334.09,43892.98,57782.65081,2550792948.2886243
2022-03-04,43892.99,44101.12,41832.28,42454.0,50940.61021,2192152097.925188
2022-03-05,42454.0,42527.3,38550.0,39148.66,61964.68498,2527001270.719469
2022-03-06,39148.65,39613.24,38407.59,39397.96,30363.13341,1187689935.0879934
2022-03-07,39397.97,39693.87,38088.57,38420.81,39677.26158,1542258009.6292188
2022-03-08,38420.8,39547.57,37155.0,37988.0,63994.11559,2449362161.7015386
2022-03-09,37988.01,39362.08,37867.65,38730.63,55583.06638,2149652714.8043456
2022-03-10,38730.63,42594.06,38656.45,41941.71,67392.58799,2797240840.960747
2022-03-11,41941.7,42039.63,38539.73,39422.0,71962.93154,2854310740.8076735
2022-03-12,39422.01,40236.26,38223.6,38729.57,59018.7642,2305825015.6010857
2022-03-13,38729.57,39486.71,38660.52,38807.36,24034.36432,939663387.3149893
2022-03-14,38807.35,39310.0,37578.51,37777.34,32791.82359,1268441605.1866875
2022-03-15,37777.35,39947.12,37555.0,39671.37,46945.45375,1821922588.4472065
2022-03-16,39671.37,39887.61,38098.33,39280.33,46015.54926,1796571984.458497
2022-03-17,39280.33,41718.0,38828.48,41114.0,88120.76167,3552563766.3655386
2022-03-18,41114.01,41478.82,40500.0,40917.9,37189.38087,1521083189.7108624
2022-03-19,40917.89,42325.02,40135.04,41757.51,45408.00969,1862337033.4847212
2022-03-20,41757.51,42400.0,41499.29,42201.13,29067.18108,1216709156.4428053
2022-03-21,42201.13,42296.26,40911.0,41262.11,30653.33468,1273880705.2502496
2022-03-22,41262.11,41544.22,40467.94,41002.25,39426.24877,1618789548.0684214
2022-03-23,41002.26,43361.0,40875.51,42364.13,59454.94294,2525975507.8012
2022-03-24,42364.13,43025.96,41751.47,42882.76,40828.87039,1725787170.5823965
2022-03-25,42882.76,44220.89,42560.46,43991.46,56195.12374,2436258223.6223383
2022-03-26,43991.46,45094.14,43579.0,44313.16,54614.43648,2421153187.6604123
2022-03-27,44313.16,44792.99,44071.97,44511.27,23041.61741,1022802857.60941
2022-03-28,44511.27,46999.0,44421.46,46827.76,41874.87327,1907017986.4144347
2022-03-29,46827.76,48189.84,46663.56,47122.21,58949.2614,2789898402.616576
2022-03-30,47122.21,48096.47,46950.85,47434.8,36772.28457,1748600385.4502351
2022-03-31,47434.79,47700.22,46445.42,47067.99,40947.2085,1932152559.8831122
2022-04-01,47067.99,47600.0,45200.0,45510.34,48645.12667,2262485160.568584
2022-04-02,45510.35,46720.09,44200.0,46283.49,56271.06474,2556532890.870311
2022-04-03,46283.49,47213.0,45620.0,45811.0,37073.53582,1721690754.4393935
2022-04-04,45810.99,47444.11,45530.92,46407.35,33394.67794,1550999693.0508049
2022-04-05,46407.36,46890.71,45118.0,46580.51,44641.87514,2053434523.8685389
2022-04-06,46580.5,47200.0,45353.81,45497.55,42192.74852,1951668192.9295099
2022-04-07,45497.54,45507.14,43121.0,43170.47,60849.32936,2700644700.890392
2022-04-08,43170.47,43900.99,42727.35,43444.19,37396.54156,1623879486.6600313
2022-04-09,43444.2,43970.62,42107.14,42252.01,42375.04203,1830699971.6113117
2022-04-10,42252.02,42800.0,42125.48,42753.97,17891.66047,759274586.6137776
2022-04-11,42753.96,43410.3,41868.0,42158.85,22771.09403,971459737.5009404
2022-04-12,42158.85,42414.71,39200.0,39530.45,63560.44721,2602039073.0150447
2022-04-13,39530.45,40699.0,39254.63,40074.94,57751.01778,2309514071.593873
2022-04-14,40074.95,41561.31,39588.54,41147.79,41342.27254,1677171454.091079
2022-04-15,41147.78,41500.0,39551.94,39942.38,36807.01401,1494726286.0180101
2022-04-16,39942.37,40870.36,39766.4,40551.9,24026.35739,966888436.8162509
2022-04-17,40551.9,40709.35,39991.55,40378.71,15805.44718,638275503.9141085
2022-04-18,40378.7,40595.67,39546.17,39678.12,19988.49259,803414248.9836985
2022-04-19,39678.11,41116.73,38536.51,40801.13,54243.49575,2153574975.9131336
2022-04-20,40801.13,41760.0,40571.0,41493.18,35788.85843,1472363265.3621879
2022-04-21,41493.19,42199.0,40820.0,41358.19,40877.35041,1697039284.0853007
2022-04-22,41358.19,42976.0,39751.0,40480.01,59316.27657,2476061417.8872576
2022-04-23,40480.01,40795.06,39177.0,39709.18,46664.0196,1870172362.40225
2022-04-24,39709.19,39980.0,39285.0,39441.6,20291.42375,804677022.9078971
2022-04-25,39441.61,39940.0,38929.62,39450.13,26703.61186,1056336243.0198609
2022-04-26,39450.12,40616.0,38200.0,40426.08,63037.12784,2470071005.2401423
2022-04-27,40426.08,40797.31,37702.26,38112.65,66650.258,2615206861.8349133
2022-04-28,38112.64,39474.72,37881.31,39235.72,57083.12272,2218523642.426387
2022-04-29,39235.72,40372.63,38881.43,39742.07,56086.6715,2223808385.8063755
2022-04-30,39742.06,39925.25,38175.0,38596.11,51453.65715,2006135662.8559992
2022-05-01,38596.11,38795.38,37578.2,37630.8,35321.18989,1354900532.1335113
2022-05-02,37630.8,38675.0,37386.38,38468.35,38812.24104,1478259271.913873
2022-05-03,38468.35,39167.34,38052.0,38525.16,53200.92628,2058450718.2963233
2022-05-04,38525.16,38651.51,37517.8,37728.95,40316.45358,1539320434.2647235
2022-05-05,37728.95,40023.77,37670.0,39690.0,62574.61736,2438553987.4535437
2022-05-06,39690.0,39845.51,39518.0,39536.91,8601.60226,341218550.0060602
